id,order_id,product_id,quantity
201,18,6,1
202,24,28,1
203,191,48,3
204,34,36,1
205,151,36,5
206,85,43,1
207,106,23,4
208,185,4,3
209,154,20,3
210,27,37,5
211,55,10,4
212,58,7,3
213,143,24,1
214,196,18,5
215,58,28,5
216,197,40,5
217,173,42,5
218,7,39,3
219,8,12,3
220,180,49,3
221,87,23,1
222,47,10,5
223,169,26,1
224,37,48,1
225,24,48,5
226,56,25,4
227,117,22,2
228,95,20,3
229,199,37,5
230,22,4,2
231,41,49,5
232,13,44,1
233,70,29,4
234,125,39,4
235,107,18,2
236,194,33,1
237,89,28,1
238,73,44,5
239,125,34,3
240,12,15,4
241,154,4,1
242,53,20,2
243,197,9,3
244,75,21,1
245,2,32,4
246,45,9,4
247,137,46,2
248,129,36,3
249,19,26,1
250,112,2,4
251,20,21,5
252,110,37,4
253,182,41,4
254,75,8,4
255,6,21,2
256,159,30,3
257,23,28,1
258,63,28,5
259,103,34,1
260,102,20,3
261,57,22,2
262,20,33,1
263,136,33,2
264,199,23,3
265,187,42,2
266,61,7,2
267,66,13,2
268,155,10,1
269,46,50,4
270,119,49,5
271,195,38,4
272,175,37,5
273,83,41,3
274,39,29,1
275,121,29,3
276,71,38,1
277,91,33,1
278,80,30,4
279,10,4,3
280,74,5,1
281,158,39,5
282,99,30,5
283,142,48,1
284,116,37,2
285,83,39,4
286,129,10,1
287,116,7,3
288,183,6,5
289,166,12,1
290,64,46,4
291,113,34,5
292,157,11,3
293,96,19,4
294,105,50,3
295,174,39,1
296,162,42,3
297,17,22,1
298,143,44,4
299,73,17,5
300,39,22,1
301,150,43,2
302,90,20,4
303,34,39,1
304,80,36,4
305,165,22,2
306,172,45,5
307,24,42,4
308,131,24,1
309,93,20,2
310,55,22,4
311,50,15,2
312,40,5,3
313,26,33,5
314,190,34,1
315,170,22,5
316,34,39,4
317,40,11,2
318,178,50,5
319,43,47,4
320,12,27,3
321,174,47,2
322,114,40,3
323,193,48,4
324,60,35,2
325,80,31,2
326,95,44,5
327,113,30,3
328,200,25,5
329,136,27,2
330,52,39,2
331,65,4,4
332,96,36,1
333,183,34,1
334,73,6,2
335,70,29,5
336,38,28,1
337,57,29,3
338,7,27,1
339,102,33,3
340,61,25,1
341,96,15,1
342,82,7,3
343,38,9,1
344,74,31,2
345,195,46,4
346,115,40,1
347,21,2,3
348,56,10,5
349,187,39,5
350,109,8,3
351,61,20,1
352,13,16,4
353,164,40,4
354,17,8,4
355,153,35,1
356,162,33,5
357,62,46,2
358,75,28,1
359,158,23,2
360,147,27,2
361,171,43,1
362,135,24,1
363,135,35,5
364,130,36,1
365,100,31,1
366,163,25,3
367,65,48,1
368,92,5,3
369,62,47,1
370,198,38,3
371,35,3,3
372,140,22,2
373,200,44,4
374,179,31,2
375,35,5,4
376,10,19,2
377,12,13,1
378,81,20,5
379,102,35,4
380,65,3,2
381,74,23,1
382,168,22,3
383,32,24,4
384,103,48,4
385,99,22,2
386,128,45,4
387,95,34,3
388,22,47,4
389,21,28,5
390,47,35,3
391,83,7,1
392,84,43,3
393,79,29,5
394,184,28,2
395,177,29,3
396,115,3,3
397,158,28,3
398,164,4,1
399,172,41,4
400,94,33,2
